"shortname","formalname"
ул,Подрезковская 1-я
ул,Сумская
ул,Софьи Ковалевской
пер,Воронцовский
пер,Лубочный
туп,Складочный
проезд,Мелитопольский
ул,Рогожский Пос.
ул,Педагогическая
ул,Вятская
ул,Авангардная
ул,Лётная
ул,Яснополянская
проезд,Рощинский 1-й
пер,Брошевский
б-р,Павла Филонова
ул,Кустарная
ул,Хуторская 1-я
ул,Зоологическая
проезд,Семёновский
ул,Олонецкая
пл,Разгуляй
ул,Николая Коперника
ул,Пехорская
ул,Братцевская
ул,Староорловская
ул,Институтская 1-я
км,Малое кольцо МЖД 8-й
ул,Никитская М.
ул,Офицерская
ул,Ташкентская
пл,Тишинская
ул,Мелитопольская 1-я
наб,Саввинская
проезд,Титовский
пр-кт,Вернадского
ул,Кузьминская
пер,Чудов Б.
ул,Бирюсинка
пер,Нижегородский
пер,Факельный Б.
ул,Радиальная 3-я
ул,Кузнецовская
ул,Скотопрогонная
проезд,Проектируемый 68-й
ул,Кожуховская 7-я
ул,Маршала Шестопалова
ул,Вольская 1-я
проезд,Проектируемый 4025-й
пер,Новый 3-й
ул,Внуковская 1-я
пр-кт,Лихачёва
ул,Войкова
пер,Ботанический
ул,Переяславская М.
пер,Арбатский
туп,Сходненский
ул,Мелиховская
ул,Тюльпанная
проезд,Волоколамский Б.
ул,Гусарская
проезд,Красногвардейский 1-й
ул,Дудинка
ул,Пехотная
ул,Сенежская
пер,Казенный Б.
ул,Николая Химушина
проезд,Боткинский 1-й
ул,Привольная
ул,Рабочая
наб,Академика Туполева
пер,Пехотный 1-й
пер,Никольский
ул,Новые Сады 1-я
ул,Красная Сосна
пер,Благовещенский
ул,Гамалеи
ул,Новые Сады 7-я
ул,Перовская
ул,Каменщики М.
пер,Кутузовский
ул,Бауманская 2-я
ул,Власьевская
наб,Красноказарменная
ул,Александра Богомазова
ул,Матросская Тишина
ул,Пятницкая
ул,Новопесчаная
пер,Хитровский
ул,Чаплыгина
ул,Марфинская Б.
ул,Раевского
ул,Клязьминская
ул,Лизы Чайкиной
б-р,Нагатинский
пл,Грузинская
ул,Лухмановская
пр-д,Промышленный
туп,Сытинский
пл,Новодевичьего Монастыря
ул,Ларионова
пер,Цветной
ул,Кулакова
проезд,Шебашёвский
просек,Казанский 2-й
пер,Раушский 1-й
пер,Водопроводный
ул,Верземнека
км,МКАД 4-й
просек,Лучевой 2-й
б-р,Литовский
просек,Майский
пер,Рабфаковский
ул,Мельникова
ул,Маршала Тухачевского
ул,Адмирала Лазарева
ул,Гостиничная
б-р,Бескудниковский
пер,Пожарский
линия,Савёловская
ул,Академика Александрова
туп,Горлов
км,Мжд Савеловское 13-й
пер,Зачатьевский 2-й
проезд,Проектируемый 185-й
пер,Старокоптевский
ул,Сторожевая
ул,Ильи Чашника
ул,Покрышкина
проезд,Сельскохозяйственный 1-й
ул,Соколиной Горы 10-я
ул,Ереванская
ул,Прядильная 1-я
ул,Северодонецкая 1-я
ул,Лапина
наб,Лефортовская
пер,Бутиковский
пер,Звонарский
пер,Копьёвский
ул,Петра Кончаловского
проезд,Мясницкий
км,МКАД 103-й
ул,Крупской
ул,Дмитрия Ульянова
наб,Берсеневская
ул,Лобачика
ул,Генерала Ермолова
ул,Арбатецкая
ул,Краснолиманская
пер,Озерковский
ул,Маршала Малиновского
аллея,Лиственничная
ул,Бебеля 2-я
пер,Николощеповский 1-й
пл,Арбатская
ш,Загородное
ул,Речников
пер,Обыденский 3-й
пер,Гавриков М.
ул,Саратовская
ул,Дурова
ул,Сельскохозяйственная
пр-кт,Волгоградский
ул,Ясногорская
ул,Маршала Сергеева
ул,Корнейчука
пер,Расторгуевский
пер,Огородная Слобода
ул,Рословка
ул,Камова
ул,Пестеля
пер,Александра Невского
ул,Корабельная
б-р,Самаркандский
ул,Мишина
наб,Гончарная
ул,Радищевская Верхн.
ул,Антонова-Овсеенко
проезд,Грайвороновский 1-й
пл,Расковой
проезд,Нижнелихоборский 3-й
ул,Фестивальная
ул,Академика Понтрягина
ул,Константинова
пер,Измайловского Зверинца 2-й
ул,Лихоборские Бугры
ул,Гатчинская
